source,content,time,author,title
Twitter for iPhone,https://t.co/TfRmZA8RWQ,8/18/18 19:39,D_Trump1,D_Trump2018_8_18_19_39
Twitter for iPhone,The Economy is stronger and better than ever before. Importantly there remains tremendous potential - it will only get better with time!,8/18/18 13:39,D_Trump2,D_Trump2018_8_18_13_39
Twitter for iPhone,Great Job  Rachel Campos-Duffy on @foxandfriends.,8/18/18 13:34,D_Trump3,D_Trump2018_8_18_13_34
Twitter for iPhone,Has anyone looked at the mistakes that John Brennan made while serving as CIA Director? He will go down as easily the WORST in history &amp; since getting out he has become nothing less than a loudmouth partisan political hack who cannot be trusted with the secrets to our country!,8/18/18 13:12,D_Trump4,D_Trump2018_8_18_13_12
Twitter for iPhone,https://t.co/5kIR5EggBp,8/18/18 13:06,D_Trump5,D_Trump2018_8_18_13_6
Twitter for iPhone,All of the fools that are so focused on looking only at Russia should start also looking in another direction China. But in the end if we are smart tough and well prepared we will get along with everyone!,8/18/18 11:46,D_Trump6,D_Trump2018_8_18_11_46
Twitter for iPhone,....Too many voices are being destroyed some good &amp; some bad and that cannot be allowed to happen. Who is making the choices because I can already tell you that too many mistakes are being made. Let everybody participate good &amp; bad and we will all just have to figure it out!,8/18/18 11:40,D_Trump7,D_Trump2018_8_18_11_40
Twitter for iPhone,.....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News there is nothing so Fake as CNN &amp; MSNBC &amp; yet I do not ask that their sick behavior be removed. I get used to it and watch with a grain of salt or don’t watch at all..,8/18/18 11:32,D_Trump8,D_Trump2018_8_18_11_32
Twitter for iPhone,Social Media is totally discriminating against Republican/Conservative voices. Speaking loudly and clearly for the Trump Administration we won’t let that happen. They are closing down the opinions of many people on the RIGHT while at the same time doing nothing to others.......,8/18/18 11:23,D_Trump9,D_Trump2018_8_18_11_23
Twitter for iPhone,....financial gain is a Federal Gratuity Statute Violation Bribery Statute Violation Honest Services Violation....all Major Crimes....because the DOJ is run by BLANK Jeff Sessions......”  Gregg Jarrett.  So when does Mueller do what must be done? Probably never! @FoxNews,8/18/18 1:47,D_Trump10,D_Trump2018_8_18_1_47
Twitter for iPhone,“Bruce Ohr of DOJ is in legal jeopardy it’s astonishing that he’s still employed. Bruce &amp; Nelly Ohr’s bank account is getting fatter &amp; fatter because of the Dossier that they are both peddling. He doesn’t disclose it under Fed Regs. Using your Federal office for personal.......,8/18/18 1:46,D_Trump11,D_Trump2018_8_18_1_46
Twitter for iPhone,“Bruce Ohr of DOJ is in legal jeopardy it’s astonishingthat he’s still employed. Bruce &amp; Nelly Ohr’s bank account is getting fatter &amp; fatter because of the Dossier that they are both peddling. He doesn’t disclose it under Fed Regs. Using your Federal office for personal.......,8/18/18 1:37,D_Trump12,D_Trump2018_8_18_1_37
Twitter for iPhone,“Fox News has learned that Bruce Ohr wrote Christopher Steele following the firing of James Comey saying that he was afraid the anti-Trump Russia probe will be exposed.”  Charles Payne  @FoxBusiness   How much more does Mueller have to see? They have blinders on - RIGGED!,8/17/18 22:29,D_Trump13,D_Trump2018_8_17_22_29
Twitter for iPhone,https://t.co/TmICRUV9uo,8/17/18 21:25,D_Trump14,D_Trump2018_8_17_21_25
Twitter for iPhone,...I say Andrew’s was a bigger and more incompetent blunder. He should easily win his race against a Super Liberal Actress but his political career is over!,8/17/18 19:25,D_Trump15,D_Trump2018_8_17_19_25
Twitter for iPhone,Which is worse Hightax Andrew Cuomo's statement “WE’RE NOT GOING TO MAKE AMERICA GREAT AGAIN IT WAS NEVER THAT GREAT” or Hillary Clinton’s “DEPLORABLES” statement...,8/17/18 19:25,D_Trump16,D_Trump2018_8_17_19_25
Twitter for iPhone,When a politician admits that “We’re not going to make America great again” there doesn’t seem to be much reason to ever vote for him. This could be a career threatening statement by Andrew Cuomo with many wanting him to resign-he will get higher ratings than his brother Chris!,8/17/18 14:17,D_Trump17,D_Trump2018_8_17_14_17
Twitter for iPhone,Wow! Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about America’s lack of greatness. I have already MADE America Great Again just look at the markets jobs military- setting records and we will do even better. Andrew “choked” badly mistake!,8/17/18 14:10,D_Trump18,D_Trump2018_8_17_14_10
Twitter for iPhone,Wow! Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about America’s lack of greatness. I have already MADE America Great Again just look at the markets jobs military- setting records and we will do even better. Andrew “chocked” badly mistake!,8/17/18 14:06,D_Trump19,D_Trump2018_8_17_14_6
